item_id,order_id,product_id,product_name,category,supplier,qty,unit_price,discount_pct,discounted_price,line_total,cost_price,weight_kg,order_date,order_status
ITM0000029,ORD0000018,P017,Smart LED Desk Lamp,Lighting,BrightGadgets,2,42.99,0.0,42.99,85.98,14.0,0.9,2024-08-20,Completed
ITM0000030,ORD0000019,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,1,59.99,0.0,59.99,59.99,18.0,0.4,2023-06-23,Completed
ITM0000031,ORD0000020,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.0,54.99,54.99,20.0,0.3,2023-07-17,Returned
ITM0000032,ORD0000021,P029,Thermal Paste Premium,PC Parts,EliteComponents,1,9.99,0.2,7.99,7.99,3.0,0.05,2023-08-31,Completed
ITM0000033,ORD0000021,P004,Smart Plug 4-Pack,Smart Home,NovaTech Supply,1,34.99,0.2,27.99,27.99,11.0,0.25,2023-08-31,Completed
ITM0000034,ORD0000022,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2023-09-14,Completed
ITM0000035,ORD0000022,P024,Phone Stand Adjustable,Accessories,ValueSource Co,1,9.99,0.0,9.99,9.99,2.8,0.15,2023-09-14,Completed
ITM0000036,ORD0000023,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.26,8.67,8.67,15.0,0.45,2023-11-26,Completed
ITM0000037,ORD0000024,P020,Laptop Cooling Pad,Accessories,BrightGadgets,1,32.99,0.0,32.99,32.99,11.0,0.7,2024-02-22,Completed
ITM0000038,ORD0000024,P022,Laptop Sleeve 15in,Accessories,ValueSource Co,1,19.99,0.0,19.99,19.99,6.0,0.25,2024-02-22,Completed
ITM0000039,ORD0000024,P028,Gaming Chair Ergonomic,Furniture,ValueSource Co,1,349.99,0.0,349.99,349.99,155.0,18.0,2024-02-22,Completed
ITM0000040,ORD0000025,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.0,49.99,49.99,14.0,0.15,2024-03-07,Completed
ITM0000041,ORD0000025,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.0,49.99,49.99,14.0,0.15,2024-03-07,Completed
ITM0000042,ORD0000026,P029,Thermal Paste Premium,PC Parts,EliteComponents,3,9.99,0.0,9.99,29.97,3.0,0.05,2024-03-21,Completed
ITM0000043,ORD0000027,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.26,40.69,40.69,20.0,0.3,2024-04-25,Completed
ITM0000044,ORD0000028,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2024-06-15,Completed
ITM0000045,ORD0000029,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.24,129.19,129.19,72.0,0.35,2024-06-29,Completed
ITM0000046,ORD0000029,P016,27in Monitor 4K,Displays,BrightGadgets,1,319.99,0.24,243.19,243.19,138.0,6.5,2024-06-29,Completed
ITM0000047,ORD0000030,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2024-10-10,Completed
ITM0000048,ORD0000030,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2024-10-10,Completed
ITM0000049,ORD0000030,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2024-10-10,Completed
ITM0000050,ORD0000030,P024,Phone Stand Adjustable,Accessories,ValueSource Co,1,9.99,0.0,9.99,9.99,2.8,0.15,2024-10-10,Completed
ITM0000051,ORD0000031,P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,1,34.99,0.22,27.29,27.29,9.5,0.3,2024-11-26,Completed
ITM0000052,ORD0000032,P018,Action Camera 4K,Cameras,BrightGadgets,2,169.99,0.0,169.99,339.98,72.0,0.35,2024-12-10,Completed
ITM0000053,ORD0000033,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,1,59.99,0.0,59.99,59.99,18.0,0.4,2022-05-11,Completed
ITM0000054,ORD0000034,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.0,169.99,169.99,72.0,0.35,2022-06-04,Completed
ITM0000055,ORD0000035,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2022-08-14,Completed
ITM0000056,ORD0000036,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2022-09-02,Completed
ITM0000057,ORD0000037,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,1,59.99,0.18,49.19,49.19,18.0,0.4,2022-10-24,Completed
ITM0000058,ORD0000038,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2022-11-07,Completed
ITM0000059,ORD0000038,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,2,54.99,0.0,54.99,109.98,20.0,0.3,2022-11-07,Completed
ITM0000060,ORD0000039,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,1,59.99,0.0,59.99,59.99,18.0,0.4,2023-02-23,Completed
ITM0000061,ORD0000040,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.0,89.99,89.99,35.0,0.3,2024-11-14,Completed
ITM0000062,ORD0000041,P030,Webcam 4K Pro,Peripherals,TechCore Ltd,1,149.99,0.0,149.99,149.99,58.0,0.35,2022-11-22,Completed
ITM0000063,ORD0000041,P020,Laptop Cooling Pad,Accessories,BrightGadgets,1,32.99,0.0,32.99,32.99,11.0,0.7,2022-11-22,Completed
ITM0000064,ORD0000042,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2022-12-06,Completed
ITM0000065,ORD0000042,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2022-12-06,Completed
ITM0000066,ORD0000043,P025,Screen Cleaning Kit,Accessories,ValueSource Co,1,7.99,0.0,7.99,7.99,1.5,0.1,2023-09-14,Cancelled
ITM0000067,ORD0000044,P017,Smart LED Desk Lamp,Lighting,BrightGadgets,1,42.99,0.13,37.4,37.4,14.0,0.9,2023-12-29,Completed
ITM0000068,ORD0000045,P019,Ring Light 10in,Lighting,BrightGadgets,1,54.99,0.0,54.99,54.99,19.0,1.2,2024-02-23,Returned
ITM0000069,ORD0000045,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,2,89.99,0.0,89.99,179.98,35.0,0.3,2024-02-23,Returned
ITM0000070,ORD0000046,P026,HDMI Cable 2m,Accessories,ValueSource Co,1,8.99,0.0,8.99,8.99,2.2,0.08,2024-04-07,Completed
ITM0000071,ORD0000047,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.12,79.19,79.19,35.0,0.3,2024-04-26,Completed
ITM0000072,ORD0000047,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,2,49.99,0.12,43.99,87.98,14.0,0.15,2024-04-26,Completed
ITM0000073,ORD0000048,P020,Laptop Cooling Pad,Accessories,BrightGadgets,1,32.99,0.0,32.99,32.99,11.0,0.7,2024-06-03,Completed
ITM0000074,ORD0000048,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.0,169.99,169.99,72.0,0.35,2024-06-03,Completed
ITM0000075,ORD0000048,P004,Smart Plug 4-Pack,Smart Home,NovaTech Supply,2,34.99,0.0,34.99,69.98,11.0,0.25,2024-06-03,Completed
ITM0000076,ORD0000048,P009,Desk Pad XL,Accessories,TechCore Ltd,3,29.99,0.0,29.99,89.97,10.0,0.6,2024-06-03,Completed
ITM0000077,ORD0000049,P016,27in Monitor 4K,Displays,BrightGadgets,2,319.99,0.21,252.79,505.58,138.0,6.5,2024-07-24,Pending
ITM0000078,ORD0000050,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2024-09-09,Completed
ITM0000079,ORD0000050,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2024-09-09,Completed
ITM0000080,ORD0000050,P024,Phone Stand Adjustable,Accessories,ValueSource Co,1,9.99,0.0,9.99,9.99,2.8,0.15,2024-09-09,Completed
ITM0000081,ORD0000051,P024,Phone Stand Adjustable,Accessories,ValueSource Co,1,9.99,0.18,8.19,8.19,2.8,0.15,2024-11-24,Cancelled
ITM0000082,ORD0000052,P023,Cable Management Kit,Accessories,ValueSource Co,1,12.99,0.0,12.99,12.99,3.8,0.3,2022-03-02,Completed
ITM0000083,ORD0000053,P009,Desk Pad XL,Accessories,TechCore Ltd,1,29.99,0.0,29.99,29.99,10.0,0.6,2022-05-08,Pending
ITM0000084,ORD0000054,P027,Cable Clips Pack 50,Accessories,ValueSource Co,1,5.99,0.0,5.99,5.99,1.0,0.08,2024-01-14,Completed
ITM0000085,ORD0000054,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,2,89.99,0.0,89.99,179.98,35.0,0.3,2024-01-14,Completed
ITM0000086,ORD0000055,P019,Ring Light 10in,Lighting,BrightGadgets,1,54.99,0.0,54.99,54.99,19.0,1.2,2024-12-03,Completed
ITM0000087,ORD0000056,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,2,39.99,0.0,39.99,79.98,12.0,0.8,2024-12-19,Completed
ITM0000088,ORD0000056,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.0,54.99,54.99,20.0,0.3,2024-12-19,Completed
ITM0000089,ORD0000057,P024,Phone Stand Adjustable,Accessories,ValueSource Co,1,9.99,0.1,8.99,8.99,2.8,0.15,2022-12-07,Returned
ITM0000090,ORD0000057,P015,Microphone USB Condenser,Audio,EliteComponents,1,99.99,0.1,89.99,89.99,42.0,0.55,2022-12-07,Returned
ITM0000091,ORD0000058,P003,Smart Watch Fitness,Wearables,NovaTech Supply,3,139.99,0.17,116.19,348.57,55.0,0.08,2022-12-30,Completed
ITM0000092,ORD0000059,P025,Screen Cleaning Kit,Accessories,ValueSource Co,1,7.99,0.15,6.79,6.79,1.5,0.1,2023-11-30,Completed
ITM0000093,ORD0000060,P013,Portable SSD 1TB,Storage,EliteComponents,1,89.99,0.0,89.99,89.99,40.0,0.1,2024-11-12,Completed
ITM0000094,ORD0000061,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,2,54.99,0.0,54.99,109.98,20.0,0.3,2022-08-19,Completed
ITM0000095,ORD0000062,P025,Screen Cleaning Kit,Accessories,ValueSource Co,1,7.99,0.0,7.99,7.99,1.5,0.1,2022-09-02,Completed
ITM0000096,ORD0000062,P015,Microphone USB Condenser,Audio,EliteComponents,1,99.99,0.0,99.99,99.99,42.0,0.55,2022-09-02,Completed
ITM0000097,ORD0000062,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,2,39.99,0.0,39.99,79.98,12.0,0.8,2022-09-02,Completed
ITM0000098,ORD0000063,P010,Noise Cancel Headphones,Audio,TechCore Ltd,1,38.98,0.0,38.98,38.98,48.0,0.28,2023-11-14,Completed
ITM0000099,ORD0000063,P026,HDMI Cable 2m,Accessories,ValueSource Co,3,8.99,0.0,8.99,26.97,2.2,0.08,2023-11-14,Completed
ITM0000100,ORD0000064,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.0,169.99,169.99,72.0,0.35,2024-07-02,Completed
ITM0000101,ORD0000064,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2024-07-02,Completed
ITM0000102,ORD0000065,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.0,49.99,49.99,14.0,0.15,2024-04-13,Cancelled
ITM0000103,ORD0000065,P029,Thermal Paste Premium,PC Parts,EliteComponents,3,9.99,0.0,9.99,29.97,3.0,0.05,2024-04-13,Cancelled
ITM0000104,ORD0000066,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,2,49.99,0.14,42.99,85.98,14.0,0.15,2023-09-30,Completed
ITM0000105,ORD0000066,P016,27in Monitor 4K,Displays,BrightGadgets,1,319.99,0.14,275.19,275.19,138.0,6.5,2023-09-30,Completed
ITM0000106,ORD0000066,P016,27in Monitor 4K,Displays,BrightGadgets,1,319.99,0.14,275.19,275.19,138.0,6.5,2023-09-30,Completed
ITM0000107,ORD0000066,P003,Smart Watch Fitness,Wearables,NovaTech Supply,1,139.99,0.14,120.39,120.39,55.0,0.08,2023-09-30,Completed
ITM0000108,ORD0000067,P004,Smart Plug 4-Pack,Smart Home,NovaTech Supply,1,34.99,0.0,34.99,34.99,11.0,0.25,2022-11-13,Completed
ITM0000109,ORD0000068,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2022-12-13,Returned
ITM0000110,ORD0000068,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2022-12-13,Returned
ITM0000111,ORD0000069,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.0,89.99,89.99,35.0,0.3,2023-10-23,Completed
ITM0000112,ORD0000069,P015,Microphone USB Condenser,Audio,EliteComponents,1,99.99,0.0,99.99,99.99,42.0,0.55,2023-10-23,Completed
ITM0000113,ORD0000070,P026,HDMI Cable 2m,Accessories,ValueSource Co,2,8.99,0.0,8.99,17.98,2.2,0.08,2023-06-15,Completed
ITM0000114,ORD0000070,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2023-06-15,Completed
ITM0000115,ORD0000071,P014,Docking Station USB-C,Accessories,EliteComponents,1,109.99,0.0,109.99,109.99,45.0,0.55,2023-10-08,Completed
ITM0000116,ORD0000072,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.0,54.99,54.99,20.0,0.3,2023-06-06,Completed
ITM0000117,ORD0000073,P017,Smart LED Desk Lamp,Lighting,BrightGadgets,2,42.99,0.0,42.99,85.98,14.0,0.9,2024-09-22,Completed
ITM0000118,ORD0000073,P024,Phone Stand Adjustable,Accessories,ValueSource Co,1,9.99,0.0,9.99,9.99,2.8,0.15,2024-09-22,Completed
ITM0000119,ORD0000074,P014,Docking Station USB-C,Accessories,EliteComponents,1,109.99,0.0,109.99,109.99,45.0,0.55,2024-07-21,Completed
ITM0000120,ORD0000075,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2023-04-03,Completed
ITM0000121,ORD0000076,P003,Smart Watch Fitness,Wearables,NovaTech Supply,1,139.99,0.0,139.99,139.99,55.0,0.08,2023-06-10,Returned
ITM0000122,ORD0000077,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,1,59.99,0.12,52.79,52.79,18.0,0.4,2023-09-02,Completed
ITM0000123,ORD0000078,P016,27in Monitor 4K,Displays,BrightGadgets,1,319.99,0.0,319.99,319.99,138.0,6.5,2023-10-06,Pending
ITM0000124,ORD0000078,P023,Cable Management Kit,Accessories,ValueSource Co,2,12.99,0.0,12.99,25.98,3.8,0.3,2023-10-06,Pending
ITM0000125,ORD0000079,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2023-12-18,Completed
ITM0000126,ORD0000079,P027,Cable Clips Pack 50,Accessories,ValueSource Co,1,5.99,0.0,5.99,5.99,1.0,0.08,2023-12-18,Completed
ITM0000127,ORD0000079,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,3,49.99,0.0,49.99,149.97,14.0,0.15,2023-12-18,Completed
ITM0000128,ORD0000080,P026,HDMI Cable 2m,Accessories,ValueSource Co,1,8.99,0.0,8.99,8.99,2.2,0.08,2024-01-09,Completed
ITM0000129,ORD0000081,P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,1,34.99,0.0,34.99,34.99,9.5,0.3,2024-01-23,Completed
ITM0000130,ORD0000082,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.28,122.39,122.39,72.0,0.35,2024-02-29,Completed
ITM0000131,ORD0000083,P009,Desk Pad XL,Accessories,TechCore Ltd,1,29.99,0.0,29.99,29.99,10.0,0.6,2024-03-21,Completed
ITM0000132,ORD0000083,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2024-03-21,Completed
ITM0000133,ORD0000084,P013,Portable SSD 1TB,Storage,EliteComponents,1,89.99,0.0,89.99,89.99,40.0,0.1,2024-07-01,Completed
ITM0000134,ORD0000085,P012,Gaming Mouse RGB,Peripherals,EliteComponents,1,44.99,0.0,44.99,44.99,17.0,0.18,2024-07-15,Completed
ITM0000135,ORD0000085,P004,Smart Plug 4-Pack,Smart Home,NovaTech Supply,1,34.99,0.0,34.99,34.99,11.0,0.25,2024-07-15,Completed
ITM0000136,ORD0000085,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,3,11.71,0.0,11.71,35.13,15.0,0.45,2024-07-15,Completed
ITM0000137,ORD0000085,P021,VR Headset Standalone,Gaming,BrightGadgets,1,299.99,0.0,299.99,299.99,140.0,0.65,2024-07-15,Completed
ITM0000138,ORD0000086,P020,Laptop Cooling Pad,Accessories,BrightGadgets,1,32.99,0.0,32.99,32.99,11.0,0.7,2024-09-14,Completed
ITM0000139,ORD0000087,P018,Action Camera 4K,Cameras,BrightGadgets,1,169.99,0.0,169.99,169.99,72.0,0.35,2024-12-06,Completed
ITM0000140,ORD0000088,P013,Portable SSD 1TB,Storage,EliteComponents,1,89.99,0.0,89.99,89.99,40.0,0.1,2023-12-18,Completed
ITM0000141,ORD0000089,P027,Cable Clips Pack 50,Accessories,ValueSource Co,1,5.99,0.0,5.99,5.99,1.0,0.08,2023-02-01,Completed
ITM0000142,ORD0000090,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.0,89.99,89.99,35.0,0.3,2023-09-15,Returned
ITM0000143,ORD0000091,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.0,39.99,39.99,12.0,0.8,2023-05-23,Completed
ITM0000144,ORD0000092,P009,Desk Pad XL,Accessories,TechCore Ltd,1,29.99,0.0,29.99,29.99,10.0,0.6,2023-07-21,Completed
ITM0000145,ORD0000093,P020,Laptop Cooling Pad,Accessories,BrightGadgets,1,32.99,0.24,25.07,25.07,11.0,0.7,2023-08-31,Completed
ITM0000146,ORD0000094,P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,1,34.99,0.0,34.99,34.99,9.5,0.3,2023-10-20,Completed
ITM0000147,ORD0000094,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.0,89.99,89.99,35.0,0.3,2023-10-20,Completed
ITM0000148,ORD0000094,P027,Cable Clips Pack 50,Accessories,ValueSource Co,1,5.99,0.0,5.99,5.99,1.0,0.08,2023-10-20,Completed
ITM0000149,ORD0000095,P005,USB-C Hub 7-in-1,Accessories,TechCore Ltd,2,34.99,0.0,34.99,69.98,9.5,0.3,2023-11-03,Completed
ITM0000150,ORD0000095,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,3,39.99,0.0,39.99,119.97,12.0,0.8,2023-11-03,Completed
ITM0000151,ORD0000095,P009,Desk Pad XL,Accessories,TechCore Ltd,2,29.99,0.0,29.99,59.98,10.0,0.6,2023-11-03,Completed
ITM0000152,ORD0000096,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.0,49.99,49.99,14.0,0.15,2023-11-17,Completed
ITM0000153,ORD0000097,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.0,54.99,54.99,20.0,0.3,2023-12-15,Completed
ITM0000154,ORD0000097,P017,Smart LED Desk Lamp,Lighting,BrightGadgets,1,42.99,0.0,42.99,42.99,14.0,0.9,2023-12-15,Completed
ITM0000155,ORD0000098,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.28,39.59,39.59,20.0,0.3,2023-12-29,Completed
ITM0000156,ORD0000099,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,1,11.71,0.0,11.71,11.71,15.0,0.45,2024-01-12,Completed
ITM0000157,ORD0000100,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,3,59.99,0.0,59.99,179.97,18.0,0.4,2024-03-10,Completed
ITM0000158,ORD0000101,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.21,31.59,31.59,12.0,0.8,2024-06-28,Completed
ITM0000159,ORD0000101,P006,Laptop Stand Aluminium,Accessories,TechCore Ltd,1,39.99,0.21,31.59,31.59,12.0,0.8,2024-06-28,Completed
ITM0000160,ORD0000101,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.21,39.49,39.49,14.0,0.15,2024-06-28,Completed
ITM0000161,ORD0000101,P026,HDMI Cable 2m,Accessories,ValueSource Co,1,8.99,0.21,7.1,7.1,2.2,0.08,2024-06-28,Completed
ITM0000162,ORD0000102,P001,Wireless Earbuds Pro,Audio,NovaTech Supply,1,49.99,0.16,41.99,41.99,14.0,0.15,2024-12-25,Completed
ITM0000163,ORD0000103,P019,Ring Light 10in,Lighting,BrightGadgets,1,54.99,0.2,43.99,43.99,19.0,1.2,2024-03-30,Completed
ITM0000164,ORD0000104,P010,Noise Cancel Headphones,Audio,TechCore Ltd,1,38.98,0.0,38.98,38.98,48.0,0.28,2023-06-12,Completed
ITM0000165,ORD0000104,P014,Docking Station USB-C,Accessories,EliteComponents,1,109.99,0.0,109.99,109.99,45.0,0.55,2023-06-12,Completed
ITM0000166,ORD0000104,P002,Bluetooth Speaker Mini,Audio,NovaTech Supply,2,59.99,0.0,59.99,119.98,18.0,0.4,2023-06-12,Completed
ITM0000167,ORD0000104,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.0,89.99,89.99,35.0,0.3,2023-06-12,Completed
ITM0000168,ORD0000105,P017,Smart LED Desk Lamp,Lighting,BrightGadgets,1,42.99,0.0,42.99,42.99,14.0,0.9,2023-09-20,Completed
ITM0000169,ORD0000106,P011,Mechanical Keyboard TKL,Peripherals,EliteComponents,1,89.99,0.0,89.99,89.99,35.0,0.3,2024-06-02,Completed
ITM0000170,ORD0000107,P019,Ring Light 10in,Lighting,BrightGadgets,1,54.99,0.16,46.19,46.19,19.0,1.2,2023-07-28,Completed
ITM0000171,ORD0000107,P026,HDMI Cable 2m,Accessories,ValueSource Co,3,8.99,0.16,7.55,22.65,2.2,0.08,2023-07-28,Completed
ITM0000172,ORD0000108,P007,Webcam 1080p HD,Peripherals,TechCore Ltd,1,54.99,0.0,54.99,54.99,20.0,0.3,2024-11-10,Cancelled
ITM0000173,ORD0000108,P008,Power Bank 20000mAh,Accessories,TechCore Ltd,2,11.71,0.0,11.71,23.42,15.0,0.45,2024-11-10,Cancelled
ITM0000174,ORD0000108,P030,Webcam 4K Pro,Peripherals,TechCore Ltd,1,149.99,0.0,149.99,149.99,58.0,0.35,2024-11-10,Cancelled
ITM0000175,ORD0000109,P009,Desk Pad XL,Accessories,TechCore Ltd,1,29.99,0.13,26.09,26.09,10.0,0.6,2022-10-24,Returned
