product_id,date,stock_level,units_sold,stockout_flag
P001,2022-05-10,691,9,0
P001,2022-05-11,680,11,0
P001,2022-05-12,671,9,0
P001,2022-05-13,663,8,0
P001,2022-05-14,654,9,0
P001,2022-05-15,645,9,0
P001,2022-05-16,633,12,0
P001,2022-05-17,626,7,0
P001,2022-05-18,620,6,0
P001,2022-05-19,610,10,0
P001,2022-05-20,605,5,0
P001,2022-05-21,597,8,0
P001,2022-05-22,585,12,0
P001,2022-05-23,579,6,0
P001,2022-05-24,569,10,0
P001,2022-05-25,562,7,0
P001,2022-05-26,554,8,0
P001,2022-05-27,546,8,0
P001,2022-05-28,534,12,0
P001,2022-05-29,516,18,0
P001,2022-05-30,506,10,0
P001,2022-05-31,499,7,0
P001,2022-06-01,768,11,0
P001,2022-06-02,756,12,0
P001,2022-06-03,744,12,0
P001,2022-06-04,729,15,0
P001,2022-06-05,721,8,0
P001,2022-06-06,713,8,0
P001,2022-06-07,706,7,0
P001,2022-06-08,698,8,0
P001,2022-06-09,690,8,0
P001,2022-06-10,683,7,0
P001,2022-06-11,667,16,0
P001,2022-06-12,654,13,0
P001,2022-06-13,642,12,0
P001,2022-06-14,632,10,0
P001,2022-06-15,627,5,0
P001,2022-06-16,615,12,0
P001,2022-06-17,607,8,0
P001,2022-06-18,589,18,0
P001,2022-06-19,569,20,0
P001,2022-06-20,564,5,0
P001,2022-06-21,552,12,0
P001,2022-06-22,545,7,0
P001,2022-06-23,537,8,0
P001,2022-06-24,525,12,0
P001,2022-06-25,510,15,0
P001,2022-06-26,491,19,0
P001,2022-06-27,479,12,0
P001,2022-06-28,468,11,0
P001,2022-06-29,462,6,0
P001,2022-06-30,454,8,0
P001,2022-07-01,725,9,0
P001,2022-07-02,712,13,0
P001,2022-07-03,698,14,0
P001,2022-07-04,685,13,0
P001,2022-07-05,679,6,0
P001,2022-07-06,671,8,0
P001,2022-07-07,664,7,0
P001,2022-07-08,654,10,0
P001,2022-07-09,634,20,0
P001,2022-07-10,615,19,0
P001,2022-07-11,604,11,0
P001,2022-07-12,598,6,0
P001,2022-07-13,590,8,0
P001,2022-07-14,581,9,0
P001,2022-07-15,572,9,0
P001,2022-07-16,554,18,0
P001,2022-07-17,534,20,0
P001,2022-07-18,521,13,0
P001,2022-07-19,512,9,0
P001,2022-07-20,501,11,0
P001,2022-07-21,492,9,0
P001,2022-07-22,486,6,0
P001,2022-07-23,472,14,0
P001,2022-07-24,456,16,0
P001,2022-07-25,448,8,0
P001,2022-07-26,440,8,0
P001,2022-07-27,428,12,0
P001,2022-07-28,419,9,0
P001,2022-07-29,410,9,0
P001,2022-07-30,401,9,0
P001,2022-07-31,391,10,0
P001,2022-08-01,663,8,0
P001,2022-08-02,656,7,0
P001,2022-08-03,649,7,0
P001,2022-08-04,640,9,0
P001,2022-08-05,628,12,0
P001,2022-08-06,610,18,0
P001,2022-08-07,598,12,0
P001,2022-08-08,590,8,0
P001,2022-08-09,580,10,0
P001,2022-08-10,574,6,0
P001,2022-08-11,562,12,0
P001,2022-08-12,552,10,0
P001,2022-08-13,534,18,0
P001,2022-08-14,518,16,0
P001,2022-08-15,508,10,0
P001,2022-08-16,498,10,0
P001,2022-08-17,492,6,0
P001,2022-08-18,481,11,0
P001,2022-08-19,471,10,0
P001,2022-08-20,461,10,0
P001,2022-08-21,450,11,0
P001,2022-08-22,438,12,0
P001,2022-08-23,426,12,0
P001,2022-08-24,417,9,0
P001,2022-08-25,410,7,0
P001,2022-08-26,403,7,0
P001,2022-08-27,392,11,0
P001,2022-08-28,382,10,0
P001,2022-08-29,372,10,0
P001,2022-08-30,364,8,0
P001,2022-08-31,356,8,0
P001,2022-09-01,629,7,0
P001,2022-09-02,619,10,0
P001,2022-09-03,604,15,0
P001,2022-09-04,582,22,0
P001,2022-09-05,571,11,0
P001,2022-09-06,558,13,0
P001,2022-09-07,550,8,0
P001,2022-09-08,542,8,0
P001,2022-09-09,529,13,0
P001,2022-09-10,518,11,0
P001,2022-09-11,505,13,0
P001,2022-09-12,495,10,0
P001,2022-09-13,483,12,0
P001,2022-09-14,472,11,0
P001,2022-09-15,466,6,0
P001,2022-09-16,452,14,0
P001,2022-09-17,435,17,0
P001,2022-09-18,422,13,0
P001,2022-09-19,412,10,0
P001,2022-09-20,401,11,0
P001,2022-09-21,395,6,0
P001,2022-09-22,389,6,0
P001,2022-09-23,377,12,0
P001,2022-09-24,360,17,0
P001,2022-09-25,351,9,0
P001,2022-09-26,341,10,0
P001,2022-09-27,332,9,0
P001,2022-09-28,324,8,0
P001,2022-09-29,317,7,0
P001,2022-09-30,306,11,0
P001,2022-10-01,443,17,0
P001,2022-10-02,430,13,0
P001,2022-10-03,423,7,0
P001,2022-10-04,411,12,0
P001,2022-10-05,400,11,0
P001,2022-10-06,388,12,0
P001,2022-10-07,380,8,0
P001,2022-10-08,366,14,0
P001,2022-10-09,352,14,0
P001,2022-10-10,345,7,0
P001,2022-10-11,338,7,0
P001,2022-10-12,329,9,0
P001,2022-10-13,320,9,0
P001,2022-10-14,313,7,0
P001,2022-10-15,293,20,0
P001,2022-10-16,270,23,0
P001,2022-10-17,263,7,0
P001,2022-10-18,257,6,0
P001,2022-10-19,246,11,0
P001,2022-10-20,239,7,0
P001,2022-10-21,231,8,0
P001,2022-10-22,215,16,0
P001,2022-10-23,199,16,0
P001,2022-10-24,189,10,0
P001,2022-10-25,175,14,0
P001,2022-10-26,164,11,0
P001,2022-10-27,151,13,0
P001,2022-10-28,138,13,0
P001,2022-10-29,118,20,0
P001,2022-10-30,103,15,0
P001,2022-10-31,90,13,0
P001,2022-11-01,225,19,0
P001,2022-11-02,207,18,0
P001,2022-11-03,186,21,0
P001,2022-11-04,173,13,0
P001,2022-11-05,144,29,0
P001,2022-11-06,113,31,0
P001,2022-11-07,96,17,0
P001,2022-11-08,79,17,0
P001,2022-11-09,66,13,0
P001,2022-11-10,55,11,0
P001,2022-11-11,38,17,0
P001,2022-11-12,14,24,0
P001,2022-11-13,0,14,1
P001,2022-11-14,0,0,1
P001,2022-11-15,0,0,1
P001,2022-11-16,0,0,1
P001,2022-11-17,0,0,1
P001,2022-11-18,0,0,1
P001,2022-11-19,0,0,1
P001,2022-11-20,0,0,1
P001,2022-11-21,0,0,1
P001,2022-11-22,0,0,1
P001,2022-11-23,0,0,1
P001,2022-11-24,0,0,1
P001,2022-11-25,0,0,1
P001,2022-11-26,0,0,1
P001,2022-11-27,0,0,1
P001,2022-11-28,0,0,1
P001,2022-11-29,0,0,1
P001,2022-11-30,0,0,1
P001,2022-12-01,142,12,0
P001,2022-12-02,131,11,0
P001,2022-12-03,101,30,0
P001,2022-12-04,73,28,0
P001,2022-12-05,64,9,0
P001,2022-12-06,49,15,0
P001,2022-12-07,36,13,0
P001,2022-12-08,16,20,0
P001,2022-12-09,2,14,0
P001,2022-12-10,0,2,1
P001,2022-12-11,0,0,1
P001,2022-12-12,0,0,1
P001,2022-12-13,0,0,1
P001,2022-12-14,0,0,1
P001,2022-12-15,0,0,1
P001,2022-12-16,0,0,1
P001,2022-12-17,0,0,1
P001,2022-12-18,0,0,1
P001,2022-12-19,0,0,1
P001,2022-12-20,0,0,1
P001,2022-12-21,0,0,1
P001,2022-12-22,0,0,1
P001,2022-12-23,0,0,1
P001,2022-12-24,0,0,1
P001,2022-12-25,0,0,1
P001,2022-12-26,0,0,1
P001,2022-12-27,0,0,1
P001,2022-12-28,0,0,1
P001,2022-12-29,0,0,1
P001,2022-12-30,0,0,1
P001,2022-12-31,0,0,1
P001,2023-01-01,271,9,0
P001,2023-01-02,265,6,0
P001,2023-01-03,262,3,0
P001,2023-01-04,255,7,0
P001,2023-01-05,252,3,0
P001,2023-01-06,249,3,0
P001,2023-01-07,238,11,0
P001,2023-01-08,227,11,0
P001,2023-01-09,224,3,0
P001,2023-01-10,219,5,0
P001,2023-01-11,214,5,0
P001,2023-01-12,207,7,0
P001,2023-01-13,201,6,0
P001,2023-01-14,195,6,0
P001,2023-01-15,188,7,0
P001,2023-01-16,181,7,0
P001,2023-01-17,177,4,0
P001,2023-01-18,170,7,0
P001,2023-01-19,163,7,0
P001,2023-01-20,159,4,0
P001,2023-01-21,151,8,0
P001,2023-01-22,143,8,0
P001,2023-01-23,136,7,0
P001,2023-01-24,129,7,0
P001,2023-01-25,122,7,0
P001,2023-01-26,117,5,0
P001,2023-01-27,113,4,0
P001,2023-01-28,107,6,0
P001,2023-01-29,102,5,0
P001,2023-01-30,97,5,0
P001,2023-01-31,93,4,0
P001,2023-02-01,369,4,0
P001,2023-02-02,363,6,0
P001,2023-02-03,359,4,0
P001,2023-02-04,353,6,0
P001,2023-02-05,344,9,0
P001,2023-02-06,338,6,0
P001,2023-02-07,331,7,0
P001,2023-02-08,326,5,0
P001,2023-02-09,318,8,0
P001,2023-02-10,313,5,0
P001,2023-02-11,303,10,0
P001,2023-02-12,290,13,0
P001,2023-02-13,285,5,0
P001,2023-02-14,280,5,0
P001,2023-02-15,273,7,0
P001,2023-02-16,270,3,0
P001,2023-02-17,263,7,0
P001,2023-02-18,252,11,0
P001,2023-02-19,247,5,0
P001,2023-02-20,241,6,0
P001,2023-02-21,236,5,0
P001,2023-02-22,230,6,0
P001,2023-02-23,223,7,0
P001,2023-02-24,216,7,0
P001,2023-02-25,208,8,0
P001,2023-02-26,197,11,0
P001,2023-02-27,193,4,0
P001,2023-02-28,185,8,0
P001,2023-03-01,456,9,0
P001,2023-03-02,449,7,0
P001,2023-03-03,444,5,0
P001,2023-03-04,432,12,0
P001,2023-03-05,416,16,0
P001,2023-03-06,407,9,0
P001,2023-03-07,397,10,0
P001,2023-03-08,390,7,0
P001,2023-03-09,382,8,0
P001,2023-03-10,376,6,0
P001,2023-03-11,360,16,0
P001,2023-03-12,349,11,0
P001,2023-03-13,344,5,0
P001,2023-03-14,338,6,0
P001,2023-03-15,331,7,0
P001,2023-03-16,324,7,0
P001,2023-03-17,317,7,0
P001,2023-03-18,301,16,0
P001,2023-03-19,287,14,0
P001,2023-03-20,282,5,0
P001,2023-03-21,274,8,0
P001,2023-03-22,269,5,0
P001,2023-03-23,260,9,0
P001,2023-03-24,251,9,0
P001,2023-03-25,241,10,0
P001,2023-03-26,228,13,0
P001,2023-03-27,220,8,0
P001,2023-03-28,214,6,0
P001,2023-03-29,209,5,0
P001,2023-03-30,205,4,0
P001,2023-03-31,200,5,0
P001,2023-04-01,467,13,0
P001,2023-04-02,455,12,0
P001,2023-04-03,450,5,0
P001,2023-04-04,445,5,0
P001,2023-04-05,436,9,0
P001,2023-04-06,428,8,0
P001,2023-04-07,420,8,0
P001,2023-04-08,408,12,0
P001,2023-04-09,395,13,0
P001,2023-04-10,390,5,0
P001,2023-04-11,381,9,0
P001,2023-04-12,376,5,0
P001,2023-04-13,371,5,0
P001,2023-04-14,362,9,0
P001,2023-04-15,351,11,0
P001,2023-04-16,336,15,0
P001,2023-04-17,331,5,0
P001,2023-04-18,322,9,0
P001,2023-04-19,314,8,0
P001,2023-04-20,308,6,0
P001,2023-04-21,302,6,0
P001,2023-04-22,289,13,0
P001,2023-04-23,280,9,0
P001,2023-04-24,273,7,0
P001,2023-04-25,265,8,0
P001,2023-04-26,260,5,0
P001,2023-04-27,252,8,0
P001,2023-04-28,243,9,0
P001,2023-04-29,225,18,0
P001,2023-04-30,214,11,0
P001,2023-05-01,482,12,0
P001,2023-05-02,476,6,0
P001,2023-05-03,469,7,0
P001,2023-05-04,459,10,0
P001,2023-05-05,453,6,0
P001,2023-05-06,441,12,0
P001,2023-05-07,433,8,0
P001,2023-05-08,428,5,0
P001,2023-05-09,419,9,0
P001,2023-05-10,408,11,0
P001,2023-05-11,401,7,0
P001,2023-05-12,390,11,0
P001,2023-05-13,377,13,0
P001,2023-05-14,367,10,0
P001,2023-05-15,360,7,0
P001,2023-05-16,348,12,0
P001,2023-05-17,340,8,0
P001,2023-05-18,335,5,0
P001,2023-05-19,325,10,0
P001,2023-05-20,310,15,0
P001,2023-05-21,293,17,0
P001,2023-05-22,284,9,0
P001,2023-05-23,279,5,0
P001,2023-05-24,269,10,0
P001,2023-05-25,261,8,0
P001,2023-05-26,251,10,0
P001,2023-05-27,233,18,0
P001,2023-05-28,215,18,0
P001,2023-05-29,204,11,0
P001,2023-05-30,196,8,0
P001,2023-05-31,189,7,0
P001,2023-06-01,462,7,0
P001,2023-06-02,452,10,0
P001,2023-06-03,441,11,0
P001,2023-06-04,432,9,0
P001,2023-06-05,420,12,0
P001,2023-06-06,413,7,0
P001,2023-06-07,406,7,0
P001,2023-06-08,401,5,0
P001,2023-06-09,390,11,0
P001,2023-06-10,378,12,0
P001,2023-06-11,358,20,0
P001,2023-06-12,352,6,0
P001,2023-06-13,340,12,0
P001,2023-06-14,331,9,0
P001,2023-06-15,323,8,0
P001,2023-06-16,311,12,0
P001,2023-06-17,298,13,0
P001,2023-06-18,282,16,0
P001,2023-06-19,275,7,0
P001,2023-06-20,264,11,0
P001,2023-06-21,255,9,0
P001,2023-06-22,243,12,0
P001,2023-06-23,237,6,0
P001,2023-06-24,227,10,0
P001,2023-06-25,219,8,0
P001,2023-06-26,213,6,0
P001,2023-06-27,202,11,0
P001,2023-06-28,194,8,0
P001,2023-06-29,189,5,0
P001,2023-06-30,183,6,0
P001,2023-07-01,452,11,0
P001,2023-07-02,437,15,0
P001,2023-07-03,427,10,0
P001,2023-07-04,415,12,0
P001,2023-07-05,404,11,0
P001,2023-07-06,398,6,0
P001,2023-07-07,385,13,0
P001,2023-07-08,368,17,0
P001,2023-07-09,358,10,0
P001,2023-07-10,349,9,0
P001,2023-07-11,339,10,0
P001,2023-07-12,327,12,0
P001,2023-07-13,315,12,0
P001,2023-07-14,307,8,0
P001,2023-07-15,298,9,0
P001,2023-07-16,279,19,0
P001,2023-07-17,267,12,0
P001,2023-07-18,261,6,0
P001,2023-07-19,248,13,0
P001,2023-07-20,238,10,0
P001,2023-07-21,229,9,0
P001,2023-07-22,212,17,0
P001,2023-07-23,198,14,0
P001,2023-07-24,192,6,0
P001,2023-07-25,179,13,0
P001,2023-07-26,173,6,0
P001,2023-07-27,165,8,0
P001,2023-07-28,154,11,0
P001,2023-07-29,136,18,0
P001,2023-07-30,124,12,0
P001,2023-07-31,117,7,0
P001,2023-08-01,391,6,0
P001,2023-08-02,384,7,0
P001,2023-08-03,377,7,0
P001,2023-08-04,368,9,0
P001,2023-08-05,357,11,0
P001,2023-08-06,340,17,0
P001,2023-08-07,328,12,0
P001,2023-08-08,319,9,0
P001,2023-08-09,313,6,0
P001,2023-08-10,302,11,0
P001,2023-08-11,295,7,0
P001,2023-08-12,282,13,0
P001,2023-08-13,270,12,0
P001,2023-08-14,262,8,0
P001,2023-08-15,254,8,0
P001,2023-08-16,242,12,0
P001,2023-08-17,231,11,0
P001,2023-08-18,223,8,0
P001,2023-08-19,214,9,0
P001,2023-08-20,198,16,0
P001,2023-08-21,188,10,0
P001,2023-08-22,181,7,0
P001,2023-08-23,169,12,0
P001,2023-08-24,161,8,0
P001,2023-08-25,150,11,0
P001,2023-08-26,135,15,0
P001,2023-08-27,126,9,0
P001,2023-08-28,118,8,0
P001,2023-08-29,111,7,0
P001,2023-08-30,105,6,0
P001,2023-08-31,93,12,0
P001,2023-09-01,367,6,0
P001,2023-09-02,348,19,0
P001,2023-09-03,333,15,0
P001,2023-09-04,321,12,0
P001,2023-09-05,307,14,0
P001,2023-09-06,295,12,0
P001,2023-09-07,289,6,0
P001,2023-09-08,283,6,0
P001,2023-09-09,263,20,0
P001,2023-09-10,243,20,0
P001,2023-09-11,235,8,0
P001,2023-09-12,221,14,0
P001,2023-09-13,215,6,0
P001,2023-09-14,209,6,0
P001,2023-09-15,198,11,0
P001,2023-09-16,188,10,0
P001,2023-09-17,170,18,0
P001,2023-09-18,161,9,0
P001,2023-09-19,155,6,0
P001,2023-09-20,149,6,0
P001,2023-09-21,141,8,0
P001,2023-09-22,134,7,0
P001,2023-09-23,124,10,0
P001,2023-09-24,103,21,0
P001,2023-09-25,93,10,0
P001,2023-09-26,85,8,0
P001,2023-09-27,76,9,0
P001,2023-09-28,66,10,0
P001,2023-09-29,56,10,0
P001,2023-09-30,45,11,0
P001,2023-10-01,177,22,0
P001,2023-10-02,163,14,0
P001,2023-10-03,153,10,0
P001,2023-10-04,146,7,0
P001,2023-10-05,136,10,0
P001,2023-10-06,129,7,0
P001,2023-10-07,114,15,0
P001,2023-10-08,101,13,0
P001,2023-10-09,91,10,0
P001,2023-10-10,84,7,0
P001,2023-10-11,75,9,0
P001,2023-10-12,69,6,0
P001,2023-10-13,61,8,0
P001,2023-10-14,37,24,0
P001,2023-10-15,14,23,0
P001,2023-10-16,6,8,0
P001,2023-10-17,0,6,1
P001,2023-10-18,0,0,1
P001,2023-10-19,0,0,1
P001,2023-10-20,0,0,1
P001,2023-10-21,0,0,1
P001,2023-10-22,0,0,1
P001,2023-10-23,0,0,1
P001,2023-10-24,0,0,1
P001,2023-10-25,0,0,1
P001,2023-10-26,0,0,1
P001,2023-10-27,0,0,1
P001,2023-10-28,0,0,1
P001,2023-10-29,0,0,1
P001,2023-10-30,0,0,1
P001,2023-10-31,0,0,1
P001,2023-11-01,132,22,0
P001,2023-11-02,120,12,0
P001,2023-11-03,97,23,0
P001,2023-11-04,64,33,0
P001,2023-11-05,47,17,0
P001,2023-11-06,36,11,0
P001,2023-11-07,21,15,0
P001,2023-11-08,10,11,0
P001,2023-11-09,0,10,1
P001,2023-11-10,0,0,1
P001,2023-11-11,0,0,1
P001,2023-11-12,0,0,1
P001,2023-11-13,0,0,1
P001,2023-11-14,0,0,1
P001,2023-11-15,0,0,1
P001,2023-11-16,0,0,1
P001,2023-11-17,0,0,1
P001,2023-11-18,0,0,1
P001,2023-11-19,0,0,1
P001,2023-11-20,0,0,1
P001,2023-11-21,0,0,1
P001,2023-11-22,0,0,1
P001,2023-11-23,0,0,1
P001,2023-11-24,0,0,1
P001,2023-11-25,0,0,1
P001,2023-11-26,0,0,1
P001,2023-11-27,0,0,1
P001,2023-11-28,0,0,1
P001,2023-11-29,0,0,1
P001,2023-11-30,0,0,1
P001,2023-12-01,134,20,0
P001,2023-12-02,112,22,0
P001,2023-12-03,81,31,0
P001,2023-12-04,61,20,0
P001,2023-12-05,46,15,0
P001,2023-12-06,29,17,0
P001,2023-12-07,13,16,0
P001,2023-12-08,2,11,0
P001,2023-12-09,0,2,1
P001,2023-12-10,0,0,1
P001,2023-12-11,0,0,1
P001,2023-12-12,0,0,1
P001,2023-12-13,0,0,1
P001,2023-12-14,0,0,1
P001,2023-12-15,0,0,1
P001,2023-12-16,0,0,1
P001,2023-12-17,0,0,1
P001,2023-12-18,0,0,1
P001,2023-12-19,0,0,1
P001,2023-12-20,0,0,1
P001,2023-12-21,0,0,1
P001,2023-12-22,0,0,1
P001,2023-12-23,0,0,1
P001,2023-12-24,0,0,1
P001,2023-12-25,0,0,1
P001,2023-12-26,0,0,1
P001,2023-12-27,0,0,1
P001,2023-12-28,0,0,1
P001,2023-12-29,0,0,1
P001,2023-12-30,0,0,1
P001,2023-12-31,0,0,1
P001,2024-01-01,275,5,0
P001,2024-01-02,269,6,0
P001,2024-01-03,263,6,0
P001,2024-01-04,258,5,0
P001,2024-01-05,251,7,0
P001,2024-01-06,246,5,0
P001,2024-01-07,237,9,0
P001,2024-01-08,230,7,0
P001,2024-01-09,226,4,0
P001,2024-01-10,222,4,0
P001,2024-01-11,216,6,0
P001,2024-01-12,210,6,0
P001,2024-01-13,203,7,0
P001,2024-01-14,195,8,0
P001,2024-01-15,190,5,0
P001,2024-01-16,184,6,0
P001,2024-01-17,177,7,0
P001,2024-01-18,171,6,0
P001,2024-01-19,164,7,0
P001,2024-01-20,156,8,0
P001,2024-01-21,145,11,0
P001,2024-01-22,139,6,0
P001,2024-01-23,134,5,0
P001,2024-01-24,128,6,0
P001,2024-01-25,123,5,0
P001,2024-01-26,117,6,0
P001,2024-01-27,111,6,0
P001,2024-01-28,103,8,0
P001,2024-01-29,97,6,0
P001,2024-01-30,91,6,0
P001,2024-01-31,86,5,0
P001,2024-02-01,359,7,0
P001,2024-02-02,355,4,0
P001,2024-02-03,346,9,0
P001,2024-02-04,336,10,0
P001,2024-02-05,330,6,0
P001,2024-02-06,323,7,0
P001,2024-02-07,317,6,0
P001,2024-02-08,309,8,0
P001,2024-02-09,304,5,0
P001,2024-02-10,296,8,0
P001,2024-02-11,288,8,0
P001,2024-02-12,284,4,0
P001,2024-02-13,276,8,0
P001,2024-02-14,268,8,0
P001,2024-02-15,265,3,0
P001,2024-02-16,258,7,0
P001,2024-02-17,251,7,0
P001,2024-02-18,241,10,0
P001,2024-02-19,236,5,0
P001,2024-02-20,232,4,0
P001,2024-02-21,225,7,0
P001,2024-02-22,218,7,0
P001,2024-02-23,212,6,0
P001,2024-02-24,200,12,0
P001,2024-02-25,187,13,0
P001,2024-02-26,180,7,0
P001,2024-02-27,172,8,0
P001,2024-02-28,166,6,0
P001,2024-02-29,161,5,0
P001,2024-03-01,435,6,0
P001,2024-03-02,426,9,0
P001,2024-03-03,416,10,0
P001,2024-03-04,410,6,0
P001,2024-03-05,402,8,0
P001,2024-03-06,395,7,0
P001,2024-03-07,388,7,0
P001,2024-03-08,380,8,0
P001,2024-03-09,365,15,0
P001,2024-03-10,357,8,0
P001,2024-03-11,352,5,0
P001,2024-03-12,344,8,0
P001,2024-03-13,339,5,0
P001,2024-03-14,333,6,0
P001,2024-03-15,327,6,0
P001,2024-03-16,319,8,0
P001,2024-03-17,305,14,0
P001,2024-03-18,297,8,0
P001,2024-03-19,292,5,0
P001,2024-03-20,286,6,0
P001,2024-03-21,279,7,0
P001,2024-03-22,273,6,0
P001,2024-03-23,261,12,0
P001,2024-03-24,254,7,0
P001,2024-03-25,248,6,0
P001,2024-03-26,241,7,0
P001,2024-03-27,232,9,0
P001,2024-03-28,222,10,0
P001,2024-03-29,217,5,0
P001,2024-03-30,208,9,0
P001,2024-03-31,194,14,0
P001,2024-04-01,467,7,0
P001,2024-04-02,458,9,0
P001,2024-04-03,448,10,0
P001,2024-04-04,443,5,0
P001,2024-04-05,438,5,0
P001,2024-04-06,426,12,0
P001,2024-04-07,411,15,0
P001,2024-04-08,403,8,0
P001,2024-04-09,398,5,0
P001,2024-04-10,390,8,0
P001,2024-04-11,383,7,0
P001,2024-04-12,375,8,0
P001,2024-04-13,366,9,0
P001,2024-04-14,352,14,0
P001,2024-04-15,344,8,0
P001,2024-04-16,336,8,0
P001,2024-04-17,329,7,0
P001,2024-04-18,323,6,0
P001,2024-04-19,314,9,0
P001,2024-04-20,304,10,0
P001,2024-04-21,293,11,0
P001,2024-04-22,284,9,0
P001,2024-04-23,276,8,0
P001,2024-04-24,267,9,0
P001,2024-04-25,262,5,0
P001,2024-04-26,253,9,0
P001,2024-04-27,239,14,0
P001,2024-04-28,225,14,0
P001,2024-04-29,218,7,0
P001,2024-04-30,208,10,0
P001,2024-05-01,483,5,0
P001,2024-05-02,475,8,0
P001,2024-05-03,466,9,0
P001,2024-05-04,451,15,0
P001,2024-05-05,439,12,0
P001,2024-05-06,431,8,0
P001,2024-05-07,419,12,0
P001,2024-05-08,410,9,0
P001,2024-05-09,400,10,0
P001,2024-05-10,395,5,0
P001,2024-05-11,378,17,0
P001,2024-05-12,370,8,0
P001,2024-05-13,362,8,0
P001,2024-05-14,355,7,0
P001,2024-05-15,349,6,0
P001,2024-05-16,340,9,0
P001,2024-05-17,334,6,0
P001,2024-05-18,325,9,0
P001,2024-05-19,314,11,0
P001,2024-05-20,305,9,0
P001,2024-05-21,296,9,0
