month,year,quarter,channel,spend,impressions,clicks,conversions,cac,budget_share
2022-08,2022,Q3,Email,1027.58,223716.0,3889.0,144,7.13,7.0
2022-08,2022,Q3,Referral,1411.4,333291.0,4785.0,84,16.63,5.0
2022-09,2022,Q3,Paid Social,10278.21,3305803.0,43440.0,205,49.9,52.0
2022-09,2022,Q3,Google Ads,6327.87,1630466.0,21578.0,140,45.15,28.0
2022-09,2022,Q3,Organic,731.07,172822.0,3502.0,76,9.5,5.0
2022-09,2022,Q3,Email,1005.54,181607.0,3272.0,141,7.13,7.0
2022-09,2022,Q3,Referral,1315.77,346573.0,8119.0,79,16.63,5.0
2022-10,2022,Q4,Paid Social,10887.76,1927145.0,28609.0,200,54.39,52.0
2022-10,2022,Q4,Google Ads,6357.01,1378768.0,36896.0,129,49.21,28.0
2022-10,2022,Q4,Organic,713.53,167762.0,3890.0,68,10.36,5.0
2022-10,2022,Q4,Email,1076.56,333031.0,6681.0,138,7.77,7.0
2022-10,2022,Q4,Referral,1334.7,302466.0,3497.0,73,18.13,5.0
2022-11,2022,Q4,Paid Social,11217.12,2055701.0,39901.0,206,54.39,52.0
2022-11,2022,Q4,Google Ads,6289.33,2081208.0,54454.0,127,49.21,28.0
2022-11,2022,Q4,Organic,666.19,123865.0,3424.0,64,10.36,5.0
2022-11,2022,Q4,Email,1171.42,266044.0,2386.0,150,7.77,7.0
2022-11,2022,Q4,Referral,1515.36,263997.0,6910.0,83,18.13,5.0
2022-12,2022,Q4,Paid Social,10277.36,2557337.0,35926.0,188,54.39,52.0
2022-12,2022,Q4,Google Ads,5906.62,1641423.0,24329.0,120,49.21,28.0
2022-12,2022,Q4,Organic,758.34,196800.0,3726.0,73,10.36,5.0
2022-12,2022,Q4,Email,1171.55,247260.0,3197.0,150,0.0,7.0
2022-12,2022,Q4,Referral,1326.59,361966.0,7516.0,73,18.13,5.0
2023-01,2023,Q1,Paid Social,11980.25,2742848.0,43636.0,202,59.29,52.0
2023-01,2023,Q1,Google Ads,7538.96,1717131.0,24810.0,140,53.64,28.0
2023-01,2023,Q1,Organic,782.18,135074.0,2168.0,69,11.29,5.0
2023-01,2023,Q1,Email,1181.7,276965.0,6680.0,139,8.47,7.0
2023-01,2023,Q1,Referral,1714.98,346065.0,5486.0,86,19.76,5.0
2023-02,2023,Q1,Paid Social,12481.98,3787760.0,104440.0,210,59.29,52.0
2023-02,2023,Q1,Google Ads,7266.45,1300041.0,14456.0,135,53.64,28.0
2023-02,2023,Q1,Organic,850.16,210930.0,5137.0,75,11.29,5.0
2023-02,2023,Q1,Email,1318.06,278093.0,5042.0,155,8.47,7.0
2023-02,2023,Q1,Referral,1523.18,416101.0,3929.0,77,19.76,5.0
2023-03,2023,Q1,Paid Social,12680.09,2202026.0,27731.0,213,59.29,52.0
2023-03,2023,Q1,Google Ads,,,,144,53.64,28.0
2023-03,2023,Q1,Organic,821.85,162588.0,1564.0,72,11.29,5.0
2023-03,2023,Q1,Email,1351.77,353232.0,6872.0,159,8.47,7.0
2023-03,2023,Q1,Referral,1637.92,362168.0,6847.0,82,19.76,5.0
2023-04,2023,Q2,Paid Social,13251.67,4120757.0,95437.0,205,64.62,52.0
2023-04,2023,Q2,Google Ads,7312.45,2057215.0,41593.0,125,58.47,28.0
2023-04,2023,Q2,Organic,864.21,274343.0,3643.0,70,0.0,5.0
2023-04,2023,Q2,Email,1219.93,244641.0,2410.0,132,9.23,7.0
2023-04,2023,Q2,Referral,1779.19,604910.0,4309.0,82,21.54,5.0
2023-05,2023,Q2,Paid Social,13295.22,4109872.0,40927.0,205,64.62,52.0
2023-05,2023,Q2,Google Ads,6742.26,2004137.0,36108.0,115,58.47,28.0
2023-05,2023,Q2,Organic,770.12,139636.0,3826.0,62,12.31,5.0
2023-05,2023,Q2,Email,1383.4,321900.0,8649.0,149,9.23,7.0
2023-05,2023,Q2,Referral,1560.71,285692.0,4738.0,72,21.54,5.0
2023-06,2023,Q2,Paid Social,11921.13,3406478.0,94161.0,184,64.62,52.0
2023-06,2023,Q2,Google Ads,7335.62,2155013.0,54619.0,125,58.47,28.0
2023-06,2023,Q2,Organic,801.79,190662.0,1945.0,65,12.31,5.0
2023-06,2023,Q2,Email,1374.42,359632.0,9438.0,148,9.23,7.0
2023-06,2023,Q2,Referral,1695.33,357073.0,4476.0,78,21.54,5.0
2023-07,2023,Q3,Paid Social,12914.16,2411953.0,27284.0,183,70.44,52.0
2023-07,2023,Q3,Google Ads,7827.57,2272476.0,33533.0,122,63.73,28.0
2023-07,2023,Q3,Organic,811.21,259010.0,5557.0,60,13.42,5.0
2023-07,2023,Q3,Email,1216.85,404249.0,4831.0,120,10.06,7.0
2023-07,2023,Q3,Referral,1780.19,419595.0,4675.0,75,23.48,5.0
2023-08,2023,Q3,Paid Social,13354.68,2415463.0,24473.0,189,70.44,52.0
2023-08,2023,Q3,Google Ads,7447.23,2381355.0,36929.0,116,63.73,28.0
2023-08,2023,Q3,Organic,799.25,201289.0,2864.0,59,13.42,5.0
2023-08,2023,Q3,Email,1321.96,438420.0,5428.0,131,0.0,7.0
2023-08,2023,Q3,Referral,1519.19,385356.0,8477.0,64,23.48,5.0
2023-09,2023,Q3,Paid Social,13555.06,3767517.0,50115.0,192,70.44,52.0
2023-09,2023,Q3,Google Ads,7169.95,1375880.0,22477.0,112,63.73,28.0
2023-09,2023,Q3,Organic,876.6,209806.0,2188.0,65,13.42,5.0
2023-09,2023,Q3,Email,0.0,444339.0,6718.0,131,10.06,7.0
2023-09,2023,Q3,Referral,1609.56,325838.0,5520.0,68,23.48,5.0
2023-10,2023,Q4,Paid Social,12178.97,3880973.0,44980.0,158,76.78,52.0
2023-10,2023,Q4,Google Ads,7605.37,2303510.0,51447.0,109,69.47,28.0
2023-10,2023,Q4,Organic,767.14,221449.0,5739.0,52,14.62,5.0
2023-10,2023,Q4,Email,1407.07,309400.0,6798.0,128,10.97,7.0
2023-10,2023,Q4,Referral,1650.51,384076.0,8072.0,64,25.59,5.0
2023-11,2023,Q4,Paid Social,12235.52,3340841.0,24329.0,159,76.78,52.0
2023-11,2023,Q4,Google Ads,7792.25,1931185.0,21700.0,112,69.47,28.0
2023-11,2023,Q4,Organic,887.72,194222.0,3244.0,60,14.62,5.0
2023-11,2023,Q4,Email,1318.94,403356.0,8281.0,120,10.97,7.0
2023-11,2023,Q4,Referral,1726.13,481780.0,9712.0,67,25.59,5.0
2023-12,2023,Q4,Paid Social,13502.39,3300204.0,72189.0,175,76.78,52.0
2023-12,2023,Q4,Google Ads,7099.38,1557474.0,11961.0,102,69.47,28.0
2023-12,2023,Q4,Organic,872.76,230445.0,5653.0,59,14.62,5.0
2023-12,2023,Q4,Email,1301.32,271525.0,6246.0,118,10.97,7.0
2023-12,2023,Q4,Referral,1633.52,400422.0,9120.0,63,25.59,5.0
2024-01,2024,Q1,Paid Social,15351.1,3852974.0,52455.0,183,83.69,52.0
2024-01,2024,Q1,Google Ads,9184.08,2701570.0,73853.0,121,75.72,28.0
2024-01,2024,Q1,Organic,1042.56,195820.0,3145.0,65,15.94,5.0
2024-01,2024,Q1,Email,1472.23,358045.0,4257.0,123,11.96,7.0
2024-01,2024,Q1,Referral,1870.6,497125.0,4012.0,67,27.9,5.0
2024-02,2024,Q1,Paid Social,14286.06,4028549.0,45616.0,170,83.69,52.0
2024-02,2024,Q1,Google Ads,8766.25,2012711.0,47237.0,115,75.72,28.0
2024-02,2024,Q1,Organic,1052.85,353817.0,9000.0,66,15.94,5.0
2024-02,2024,Q1,Email,1596.8,511871.0,14237.0,133,11.96,7.0
2024-02,2024,Q1,Referral,1965.39,605460.0,14148.0,70,27.9,5.0
2024-03,2024,Q1,Paid Social,15831.61,4874876.0,131880.0,189,0.0,52.0
2024-03,2024,Q1,Google Ads,8330.19,1693392.0,44761.0,110,75.72,28.0
2024-03,2024,Q1,Organic,957.93,283219.0,3527.0,60,15.94,5.0
2024-03,2024,Q1,Email,1479.37,448321.0,12200.0,123,11.96,7.0
2024-03,2024,Q1,Referral,1868.29,371005.0,7585.0,66,27.9,5.0
2024-04,2024,Q2,Paid Social,16569.82,3755875.0,41781.0,181,91.22,52.0
2024-04,2024,Q2,Google Ads,8599.43,1916619.0,25073.0,104,82.53,28.0
2024-04,2024,Q2,Organic,987.43,250544.0,5254.0,56,17.38,5.0
2024-04,2024,Q2,Email,1420.97,369620.0,5515.0,109,13.03,7.0
2024-04,2024,Q2,Referral,1811.53,565270.0,12367.0,59,30.41,5.0
2024-05,2024,Q2,Paid Social,14928.44,4831883.0,35900.0,163,91.22,52.0
2024-05,2024,Q2,Google Ads,8713.49,2490057.0,39632.0,105,82.53,28.0
2024-05,2024,Q2,Organic,966.07,169235.0,1830.0,55,17.38,5.0
2024-05,2024,Q2,Email,1615.57,278647.0,6175.0,123,13.03,7.0
2024-05,2024,Q2,Referral,2002.55,555917.0,13003.0,65,30.41,5.0
2024-06,2024,Q2,Paid Social,,,,161,91.22,52.0
2024-06,2024,Q2,Google Ads,8277.55,2020443.0,25299.0,100,82.53,28.0
2024-06,2024,Q2,Organic,1038.42,315229.0,4486.0,59,0.0,5.0
2024-06,2024,Q2,Email,1491.35,375790.0,9168.0,114,13.03,7.0
2024-06,2024,Q2,Referral,2016.08,402779.0,4435.0,66,30.41,5.0
2024-07,2024,Q3,Paid Social,16673.0,5067360.0,53828.0,167,99.43,52.0
2024-07,2024,Q3,Google Ads,9092.17,3026115.0,45557.0,101,89.96,28.0
2024-07,2024,Q3,Organic,897.07,198521.0,2723.0,47,18.94,5.0
2024-07,2024,Q3,Email,1604.97,501660.0,9188.0,113,14.2,7.0
2024-07,2024,Q3,Referral,1844.17,355717.0,3924.0,55,33.14,5.0
2024-08,2024,Q3,Paid Social,16112.72,4818002.0,80351.0,162,99.43,52.0
2024-08,2024,Q3,Google Ads,8216.17,1448016.0,18899.0,91,89.96,28.0
2024-08,2024,Q3,Organic,1009.61,317000.0,6454.0,53,18.94,5.0
2024-08,2024,Q3,Email,1565.84,430263.0,6376.0,110,14.2,7.0
2024-08,2024,Q3,Referral,2048.64,461476.0,3657.0,61,33.14,5.0
2024-09,2024,Q3,Paid Social,16654.11,3443707.0,46354.0,167,99.43,52.0
2024-09,2024,Q3,Google Ads,8012.3,2580440.0,19547.0,89,89.96,28.0
2024-09,2024,Q3,Organic,981.97,252537.0,3075.0,51,18.94,5.0
2024-09,2024,Q3,Email,1547.07,439984.0,10197.0,108,14.2,7.0
2024-09,2024,Q3,Referral,1990.57,668355.0,13210.0,60,33.14,5.0
2024-10,2024,Q4,Paid Social,16412.09,5533538.0,62919.0,151,108.38,52.0
2024-10,2024,Q4,Google Ads,8865.18,2424758.0,18158.0,90,98.06,28.0
2024-10,2024,Q4,Organic,963.87,189040.0,4820.0,46,20.64,5.0
2024-10,2024,Q4,Email,1662.86,467703.0,6312.0,107,15.48,7.0
2024-10,2024,Q4,Referral,1924.18,640963.0,7458.0,53,36.13,5.0
2024-11,2024,Q4,Paid Social,15394.52,4095188.0,35963.0,142,108.38,52.0
2024-11,2024,Q4,Google Ads,9177.23,3007823.0,64923.0,93,98.06,28.0
2024-11,2024,Q4,Organic,916.59,161587.0,2425.0,44,20.64,5.0
2024-11,2024,Q4,Email,1630.97,431915.0,11769.0,105,15.48,7.0
2024-11,2024,Q4,Referral,2066.67,379517.0,5648.0,57,36.13,5.0
2024-12,2024,Q4,Paid Social,16348.51,4290444.0,81277.0,150,108.38,52.0
2024-12,2024,Q4,Google Ads,8035.36,2278814.0,29340.0,81,98.06,28.0
2024-12,2024,Q4,Organic,910.29,250700.0,4346.0,44,20.64,5.0
2024-12,2024,Q4,Email,1556.14,268625.0,3018.0,100,0.0,7.0
2024-12,2024,Q4,Referral,2051.05,489962.0,4671.0,56,36.13,5.0
