return_id,order_id,item_id,product_id,product_name,supplier,category,return_date,return_reason,refund_amount,qty_returned
RET000015,ORD0000128,ITM0000209,P025,Screen Cleaning Kit,ValueSource Co,Accessories,2024-12-12,Defective/Not Working,7.17,1
RET000016,ORD0000128,ITM0000210,P014,Docking Station USB-C,EliteComponents,Accessories,2024-12-01,Not as Described,108.95,1
RET000017,ORD0000139,ITM0000225,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-09-05,Defective/Not Working,56.03,1
RET000018,ORD0000175,ITM0000292,P016,27in Monitor 4K,BrightGadgets,Displays,2023-06-27,Not as Described,318.63,1
RET000019,ORD0000219,ITM0000363,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2023-09-04,,46.61,1
RET000020,ORD0000263,ITM0000439,P023,Cable Management Kit,ValueSource Co,Accessories,2024-06-29,Not as Described,9.14,1
RET000021,ORD0000284,ITM0000474,P024,Phone Stand Adjustable,Value Source Co,Accessories,2023-09-22,Defective/Not Working,9.52,1
RET000022,ORD0000284,ITM0000475,P019,Ring Light 10in,BrightGadgets,Lighting,2023-09-24,Arrived Damaged,49.37,1
RET000023,ORD0000301,ITM0000496,P001,Wireless Earbuds Pro,Nova Tech Supply,Audio,2024-04-17,Defective/Not Working,46.48,1
RET000024,ORD0000301,ITM0000497,P005,USB-C Hub 7-in-1,TECHCORE LTD,Accessories,2024-04-11,Defective/Not Working,98.79,3
RET000025,ORD0000301,ITM0000498,P012,Gaming Mouse RGB,Elite components,Peripherals,2024-04-22,Defective/Not Working,81.06,2
RET000026,ORD0000301,ITM0000499,P011,Mechanical Keyboard TKL,EliteComponents,Peripherals,2024-04-20,Changed Mind,86.13,1
RET000027,ORD0000305,ITM0000506,P026,HDMI Cable 2m,ValueSource Co,Accessories,2023-12-22,Wrong Item Sent,8.33,1
RET000028,ORD0000306,ITM0000507,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2022-10-23,Arrived Damaged,128.21,1
RET000029,ORD0000306,ITM0000508,P009,Desk Pad XL,TechCore Ltd,Accessories,2022-10-27,Wrong Item Sent,27.94,1
RET000030,ORD0000306,ITM0000509,P030,Webcam 4K Pro,TechCore Ltd,Peripherals,2022-10-24,Defective/Not Working,141.09,1
RET000031,ORD0000308,ITM0000513,P012,Gaming Mouse RGB,Elite components,Peripherals,2023-02-26,Arrived Damaged,40.93,1
RET000032,ORD0000323,ITM0000532,P016,27in Monitor 4K,BrightGadgets,Displays,2022-09-10,Not as Described,306.6,1
RET000033,ORD0000332,ITM0000547,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2023-08-26,Changed Mind,102.06,2
RET000034,ORD0000352,ITM0000579,P012,Gaming Mouse RGB,Elite components,Peripherals,2024-08-02,Not as Described,36.43,1
RET000035,ORD0000364,ITM0000598,P014,Docking Station USB-C,EliteComponents,Accessories,2022-07-18,Wrong Item Sent,107.99,1
RET000036,ORD0000364,ITM0000599,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2022-08-02,Defective/Not Working,406.75,3
RET000037,ORD0000373,ITM0000613,P016,27in Monitor 4K,BrightGadgets,Displays,2022-11-03,Defective/Not Working,248.85,1
RET000038,ORD0000373,ITM0000614,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2022-11-04,Not as Described,49.39,1
RET000039,ORD0000373,ITM0000615,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2022-11-15,Poor Quality,27.86,1
RET000040,ORD0000373,ITM0000616,P019,Ring Light 10in,Bright Gadgets,Lighting,2022-11-12,Changed Mind,45.4,1
RET000041,ORD0000389,ITM0000639,P025,Screen Cleaning Kit,ValueSource,Accessories,2022-12-11,Defective/Not Working,7.18,1
RET000042,ORD0000396,ITM0000648,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2024-04-02,Defective/Not Working,44.12,1
RET000043,ORD0000396,ITM0000649,P025,Screen Cleaning Kit,ValueSource Co,Accessories,2024-04-06,Defective/Not Working,7.43,1
RET000044,ORD0000396,ITM0000650,P007,Webcam 1080p HD,Tech Core Ltd,Peripherals,2024-03-30,Defective/Not Working,161.6,3
RET000045,ORD0000410,ITM0000672,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2022-07-22,Defective/Not Working,32.14,1
RET000046,ORD0000410,ITM0000673,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2022-07-18,Not as Described,232.99,2
RET000047,ORD0000418,ITM0000688,P030,Webcam 4K Pro,TechCore Ltd,Peripherals,2024-08-19,Defective/Not Working,107.06,1
RET000048,ORD0000445,ITM0000729,P028,Gaming Chair Ergonomic,ValueSource Co,Furniture,2022-05-01,Changed Mind,349.05,1
RET000049,ORD0000487,ITM0000797,P020,Laptop Cooling Pad,BrightGadgets,Accessories,2024-08-19,Defective/Not Working,65.24,2
RET000050,ORD0000506,ITM0000828,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2024-03-20,Defective/Not Working,36.25,1
RET000051,ORD0000511,ITM0000835,P018,Action Camera 4K,brightgadgets,Cameras,2023-08-20,Defective/Not Working,154.86,1
RET000052,ORD0000511,ITM0000836,P013,Portable SSD 1TB,EliteComponents,Storage,2023-08-23,Not as Described,240.94,3
RET000053,ORD0000533,ITM0000875,P024,Phone Stand Adjustable,Value Source Co,Accessories,2024-11-24,,8.74,1
RET000054,ORD0000533,ITM0000876,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-11-09,Defective/Not Working,55.27,1
RET000055,ORD0000550,ITM0000903,P012,Gaming Mouse RGB,Elite components,Peripherals,2023-01-22,Changed Mind,41.29,1
RET000056,ORD0000550,ITM0000904,P013,Portable SSD 1TB,EliteComponents,Storage,2023-01-16,Poor Quality,164.06,2
RET000057,ORD0000551,ITM0000905,P015,Microphone USB Condenser,Elite components,Audio,2023-01-30,Defective/Not Working,67.77,1
RET000058,ORD0000551,ITM0000906,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2023-01-30,Changed Mind,28.39,1
RET000059,ORD0000567,ITM0000933,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2025-01-03,Not as Described,37.41,1
RET000060,ORD0000568,ITM0000934,P025,Screen Cleaning Kit,ValueSource Co,Accessories,2023-08-02,Defective/Not Working,15.07,2
RET000061,ORD0000568,ITM0000935,P020,Laptop Cooling Pad,BrightGadgets,Accessories,2023-07-26,Arrived Damaged,30.31,1
RET000062,ORD0000568,ITM0000936,P009,Desk Pad XL,TechCore,Accessories,2023-08-11,Defective/Not Working,27.04,1
RET000063,ORD0000568,ITM0000937,P014,Docking Station USB-C,EliteComponents,Accessories,2023-08-11,Not as Described,107.6,1
RET000064,ORD0000573,ITM0000944,P006,Laptop Stand Aluminium,Tech Core Ltd,Accessories,2022-10-23,Defective/Not Working,35.49,1
RET000065,ORD0000593,ITM0000975,P021,VR Headset Standalone,brightgadgets,Gaming,2024-01-07,Changed Mind,228.73,1
RET000066,ORD0000620,ITM0001028,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2024-12-13,Not as Described,61.66,2
RET000067,ORD0000635,ITM0001057,P014,Docking Station USB-C,EliteComponents,Accessories,2022-08-23,Changed Mind,100.22,1
RET000068,ORD0000635,ITM0001058,P029,Thermal Paste Premium,Elite components,PC Parts,2022-08-23,Defective/Not Working,9.31,1
RET000069,ORD0000640,ITM0001064,P028,Gaming Chair Ergonomic,ValueSource Co,Furniture,2024-10-04,Arrived Damaged,310.2,1
RET000070,ORD0000650,ITM0001081,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2024-05-01,Arrived Damaged,11.59,1
RET000071,ORD0000650,ITM0001082,P015,Microphone USB Condenser,Elite Components,Audio,2024-04-28,Poor Quality,98.74,1
RET000072,ORD0000682,ITM0001138,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2024-07-06,Arrived Damaged,31.45,1
RET000073,ORD0000682,ITM0001139,P029,Thermal Paste Premium,ELITECOMPONENTS,PC Parts,2024-07-15,Not as Described,15.87,2
RET000074,ORD0000682,ITM0001140,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2024-07-14,Defective/Not Working,27.64,1
RET000075,ORD0000683,ITM0001141,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2024-08-18,Poor Quality,90.96,3
RET000076,ORD0000686,ITM0001147,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2024-08-06,Not as Described,36.0,1
RET000077,ORD0000746,ITM0001257,P027,Cable Clips Pack 50,ValueSource Co,Accessories,2024-12-24,Changed Mind,5.97,1
RET000078,ORD0000753,ITM0001266,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-11-09,Arrived Damaged,113.53,2
RET000079,ORD0000761,ITM0001283,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2024-09-13,Not as Described,130.35,1
RET000080,ORD0000769,ITM0001296,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2023-01-04,Defective/Not Working,55.49,1
RET000081,ORD0000797,ITM0001340,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2023-08-18,Defective/Not Working,99.12,2
RET000082,ORD0000797,ITM0001341,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2023-09-08,Arrived Damaged,32.99,1
RET000083,ORD0000811,ITM0001357,P020,Laptop Cooling Pad,BrightGadgets,Accessories,2023-02-10,Not as Described,27.71,1
RET000084,ORD0000811,ITM0001358,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2023-02-26,Defective/Not Working,45.7,1
RET000085,ORD0000817,ITM0001369,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2023-02-19,Defective/Not Working,31.5,1
RET000086,ORD0000830,ITM0001388,P024,Phone Stand Adjustable,Value Source Co,Accessories,2023-07-20,Not as Described,9.88,1
RET000087,ORD0000831,ITM0001389,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-12-31,Not as Described,49.32,1
RET000088,ORD0000928,ITM0001540,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2024-12-11,Poor Quality,128.86,1
RET000089,ORD0000928,ITM0001541,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2024-12-29,Arrived Damaged,35.42,1
RET000090,ORD0000946,ITM0001566,P007,Webcam 1080p HD,Techcore Ltd,Peripherals,2024-11-04,Not as Described,48.98,1
RET000091,ORD0000946,ITM0001567,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2024-10-27,Defective/Not Working,22.33,2
RET000092,ORD0000946,ITM0001568,P030,Webcam 4K Pro,TechCore Ltd,Peripherals,2024-10-20,Defective/Not Working,143.96,1
RET000093,ORD0000946,ITM0001569,P027,Cable Clips Pack 50,ValueSource Co,Accessories,2024-10-27,Defective/Not Working,5.9,1
RET000094,ORD0000950,ITM0001576,P016,27in Monitor 4K,BRIGHTGADGETS,Displays,2024-12-24,,313.06,1
RET000095,ORD0000960,ITM0001596,P023,Cable Management Kit,ValueSource Co,Accessories,2024-10-12,Defective/Not Working,11.46,1
RET000096,ORD0000960,ITM0001597,P011,Mechanical Keyboard TKL,EliteComponents,Peripherals,2024-10-11,Poor Quality,175.96,2
RET000097,ORD0000996,ITM0001665,P013,Portable SSD 1TB,EliteComponents,Storage,2023-10-19,Changed Mind,66.62,1
RET000098,ORD0001002,ITM0001679,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2023-10-07,Changed Mind,32.62,1
RET000099,ORD0001011,ITM0001691,P026,HDMI Cable 2m,ValueSource Co,Accessories,2024-05-11,Not as Described,5.87,1
RET000100,ORD0001015,ITM0001699,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2022-09-16,Changed Mind,45.47,1
RET000101,ORD0001015,ITM0001700,P012,Gaming Mouse RGB,Elite components,Peripherals,2022-09-01,Defective/Not Working,34.78,1
RET000102,ORD0001024,ITM0001716,P018,Action Camera 4K,Bright gadgets,Cameras,2023-05-28,Poor Quality,159.14,1
RET000103,ORD0001027,ITM0001721,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2023-09-25,Poor Quality,54.34,1
RET000104,ORD0001049,ITM0001763,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2022-04-18,Not as Described,97.62,1
RET000105,ORD0001049,ITM0001764,P027,Cable Clips Pack 50,ValueSource Co,Accessories,2022-04-22,Poor Quality,4.21,1
RET000106,ORD0001052,ITM0001769,P024,Phone Stand Adjustable,Value Source Co,Accessories,2023-04-24,Not as Described,9.63,1
RET000107,ORD0001064,ITM0001799,P012,Gaming Mouse RGB,Elite components,Peripherals,2022-08-01,Defective/Not Working,66.24,2
RET000108,ORD0001076,ITM0001820,P004,Smart Plug 4-Pack,novatech supply,Smart Home,2024-02-06,Defective/Not Working,33.94,1
RET000109,ORD0001086,ITM0001841,P012,Gaming Mouse RGB,Elite components,Peripherals,2023-09-29,Defective/Not Working,42.02,1
RET000110,ORD0001090,ITM0001845,P012,Gaming Mouse RGB,Elite components,Peripherals,2022-12-14,Changed Mind,43.29,1
RET000111,ORD0001090,ITM0001846,P025,Screen Cleaning Kit,ValueSource Co,Accessories,2022-12-17,Not as Described,7.12,1
RET000112,ORD0001107,ITM0001875,P027,Cable Clips Pack 50,ValueSource Co,Accessories,2024-12-01,Defective/Not Working,10.25,2
RET000113,ORD0001107,ITM0001876,P024,Phone Stand Adjustable,Value Source Co,Accessories,2024-11-24,Not as Described,8.76,1
RET000114,ORD0001130,ITM0001917,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2024-07-06,Wrong Item Sent,37.87,1
RET000115,ORD0001130,ITM0001918,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2024-07-01,Changed Mind,8.92,1
RET000116,ORD0001130,ITM0001919,P022,Laptop Sleeve 15in,ValueSource,Accessories,2024-07-14,Arrived Damaged,14.84,1
RET000117,ORD0001159,ITM0001968,P013,Portable SSD 1TB,EliteComponents,Storage,2024-12-27,Defective/Not Working,72.08,1
RET000118,ORD0001159,ITM9999991,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2024-12-20,Not as Described,43.96,1
RET000119,ORD0001168,ITM0001983,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2022-08-24,Not as Described,75.99,2
RET000120,ORD0001168,ITM0001984,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2022-08-26,Defective/Not Working,135.52,1
RET000121,ORD0001173,ITM0001992,P025,Screen Cleaning Kit,ValueSource Co,Accessories,2024-02-19,Not as Described,7.88,1
RET000122,ORD0001173,ITM0001993,P015,Microphone USB Condenser,Elite Components,Audio,2024-02-17,Changed Mind,191.33,2
RET000123,ORD0001190,ITM0002016,P023,Cable Management Kit,ValueSource Co,Accessories,2024-07-07,Not as Described,10.61,1
RET000124,ORD0001190,ITM0002017,P022,Laptop Sleeve 15in,ValueSource Co,Accessories,2024-06-18,Wrong Item Sent,17.59,1
RET000125,ORD0001200,ITM0002036,P029,Thermal Paste Premium,Elite components,PC Parts,2023-08-18,Poor Quality,7.21,1
RET000126,ORD0001200,ITM0002037,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2023-08-01,Changed Mind,108.82,1
RET000127,ORD0001209,ITM0002053,P012,Gaming Mouse RGB,Elite components,Peripherals,2024-11-09,Defective/Not Working,34.71,1
RET000128,ORD0001212,ITM0002057,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2025-01-18,Defective/Not Working,89.2,3
RET000129,ORD0001218,ITM0002065,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2023-10-06,Arrived Damaged,41.55,1
RET000130,ORD0001218,ITM0002066,P006,Laptop Stand Aluminium,TECHCORE LTD,Accessories,2023-10-02,Defective/Not Working,28.0,1
RET000131,ORD0001254,ITM0002129,P025,Screen Cleaning Kit,ValueSource Co,Accessories,2022-09-07,Not as Described,7.74,1
RET000132,ORD0001254,ITM0002130,P008,Power Bank 20000mAh,TechCore,Accessories,2022-09-14,,11.67,1
RET000133,ORD0001254,ITM0002131,P029,Thermal Paste Premium,EliteComponents,PC Parts,2022-09-17,Wrong Item Sent,9.1,1
RET000134,ORD0001254,ITM0002132,P030,Webcam 4K Pro,TechCore Ltd,Peripherals,2022-09-14,Defective/Not Working,411.95,3
RET000135,ORD0001273,ITM0002169,P030,Webcam 4K Pro,TechCore Ltd,Peripherals,2024-07-09,Wrong Item Sent,127.76,1
RET000136,ORD0001273,ITM0002170,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-07-15,Arrived Damaged,51.72,1
RET000137,ORD0001275,ITM0002173,P014,Docking Station USB-C,EliteComponents,Accessories,2024-11-16,Defective/Not Working,300.65,3
RET000138,ORD0001278,ITM0002178,P019,Ring Light 10in,BrightGadgets,Lighting,2024-03-30,Defective/Not Working,51.97,1
RET000139,ORD0001278,ITM0002179,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2024-03-24,Not as Described,137.78,1
RET000140,ORD0001316,ITM0002234,P024,Phone Stand Adjustable,Valuesource Co,Accessories,2023-07-17,Wrong Item Sent,28.02,3
RET000141,ORD0001325,ITM0002246,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2024-10-29,Wrong Item Sent,132.16,3
RET000142,ORD0001325,ITM0002247,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2024-10-14,Defective/Not Working,34.26,1
RET000143,ORD0001325,ITM0002248,P009,Desk Pad XL,TechCore Ltd,Accessories,2024-10-27,Defective/Not Working,27.99,1
RET000144,ORD0001325,ITM0002249,P016,27in Monitor 4K,BrightGadgets,Displays,2024-10-16,Changed Mind,308.99,1
RET000145,ORD0001349,ITM0002285,P003,Smart Watch Fitness,Novatech Supply,Wearables,2022-01-30,Arrived Damaged,271.13,2
RET000146,ORD0001354,ITM0002293,P014,Docking Station USB-C,Elite Components,Accessories,2022-08-17,Arrived Damaged,82.25,1
RET000147,ORD0001354,ITM0002294,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2022-08-05,Defective/Not Working,47.7,1
RET000148,ORD0001428,ITM0002426,P012,Gaming Mouse RGB,Elite components,Peripherals,2023-06-09,Not as Described,40.9,1
RET000149,ORD0001428,ITM0002427,P016,27in Monitor 4K,BrightGadgets,Displays,2023-06-22,Not as Described,303.46,1
RET000150,ORD0001428,ITM0002428,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2023-06-09,Defective/Not Working,139.12,1
RET000151,ORD0001437,ITM0002440,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2024-03-11,Defective/Not Working,26.24,1
RET000152,ORD0001440,ITM0002446,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2023-10-08,Changed Mind,37.86,1
RET000153,ORD0001446,ITM0002455,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2024-08-29,Defective/Not Working,38.85,1
RET000154,ORD0001450,ITM0002459,P017,Smart LED Desk Lamp,BrightGadgets,Lighting,2024-05-27,Arrived Damaged,38.03,1
RET000155,ORD0001452,ITM0002461,P004,Smart Plug 4-Pack,NOVATECH,Smart Home,2025-01-01,Defective/Not Working,32.77,1
RET000156,ORD0001482,ITM0002513,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2023-02-08,Poor Quality,28.22,1
RET000157,ORD0001560,ITM0002654,P009,Desk Pad XL,TechCore Ltd,Accessories,2024-06-01,Wrong Item Sent,49.2,2
RET000158,ORD0001563,ITM0002657,P014,Docking Station USB-C,ELITECOMPONENTS,Accessories,2024-07-24,Defective/Not Working,108.31,1
RET000159,ORD0001574,ITM0002678,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2024-10-18,Changed Mind,38.77,1
RET000160,ORD0001577,ITM0002682,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-12-04,Defective/Not Working,51.26,1
RET000161,ORD0001582,ITM0002690,P009,Desk Pad XL,TechCore Ltd,Accessories,2023-10-26,Changed Mind,26.46,1
RET000162,ORD0001585,ITM0002694,P026,HDMI Cable 2m,ValueSource Co,Accessories,2024-07-12,Arrived Damaged,7.97,1
RET000163,ORD0001585,ITM0002695,P013,Portable SSD 1TB,EliteComponents,Storage,2024-06-30,Defective/Not Working,80.71,1
RET000164,ORD0001585,ITM0002696,P005,USB-C Hub 7-in-1,TechCore Ltd,Accessories,2024-07-02,Arrived Damaged,64.76,2
RET000165,ORD0001585,ITM0002697,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2024-06-30,Arrived Damaged,45.46,1
RET000166,ORD0001586,ITM0002698,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2024-11-02,Changed Mind,37.03,1
RET000167,ORD0001586,ITM0002699,P025,Screen Cleaning Kit,ValueSource Co,,2024-11-13,Changed Mind,7.69,1
RET000168,ORD0001602,ITM0002729,P030,Webcam 4K Pro,TechCore Ltd,Peripherals,2022-10-05,Arrived Damaged,148.85,1
RET000169,ORD0001629,ITM0002785,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-10-30,Not as Described,55.11,1
RET000170,ORD0001640,ITM0002800,P005,USB-C Hub 7-in-1,TechCore,Accessories,2025-01-05,Changed Mind,34.73,1
RET000171,ORD0001640,ITM0002801,P011,Mechanical Keyboard TKL,ELITECOMPONENTS,Peripherals,2025-01-03,Arrived Damaged,84.37,1
RET000172,ORD0001648,ITM0002815,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2022-12-30,Defective/Not Working,10.88,1
RET000173,ORD0001648,ITM0002816,P011,Mechanical Keyboard TKL,EliteComponents,Peripherals,2022-12-28,Wrong Item Sent,82.15,1
RET000174,ORD0001648,ITM0002817,P013,Portable SSD 1TB,EliteComponents,Storage,2022-12-24,Defective/Not Working,86.08,1
RET000175,ORD0001682,ITM0002879,P013,Portable SSD 1TB,ELITECOMPONENTS,Storage,2024-09-08,Defective/Not Working,147.38,2
RET000176,ORD0001682,ITM0002880,P011,Mechanical Keyboard TKL,Elite components,Peripherals,2024-08-20,Changed Mind,78.43,1
RET000177,ORD0001714,ITM0002930,P012,Gaming Mouse RGB,Elite components,Peripherals,2024-07-25,Wrong Item Sent,42.7,1
RET000178,ORD0001714,ITM0002931,P012,Gaming Mouse RGB,Elite components,Peripherals,2024-08-05,Poor Quality,79.76,2
RET000179,ORD0001765,ITM0003020,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2023-09-07,Defective/Not Working,71.5,2
RET000180,ORD0001772,ITM0003031,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2024-12-01,Changed Mind,37.07,1
RET000181,ORD0001781,ITM0003045,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2023-02-26,Defective/Not Working,49.8,1
RET000182,ORD0001781,ITM0003046,P001,Wireless Earbuds Pro,Novatech Supply,Audio,2023-02-13,Not as Described,44.14,1
RET000183,ORD0001781,ITM0003047,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2023-02-15,Not as Described,110.29,1
RET000184,ORD0001781,ITM0003048,P007,Webcam 1080p HD,TechCore Ltd,Peripherals,2023-02-27,Wrong Item Sent,43.15,1
RET000185,ORD0001783,ITM0003051,P022,Laptop Sleeve 15in,ValueSource Co,Accessories,2023-10-16,Defective/Not Working,18.63,1
RET000186,ORD0001783,ITM0003052,P024,Phone Stand Adjustable,ValueSource,Accessories,2023-10-18,Defective/Not Working,9.87,1
RET000187,ORD0001783,ITM0003053,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2023-10-12,Not as Described,133.58,1
RET000188,ORD0001803,ITM0003092,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2023-10-11,Defective/Not Working,44.98,1
RET000189,ORD0001803,ITM0003093,P014,Docking Station USB-C,EliteComponents,Accessories,2023-10-03,Poor Quality,77.76,1
RET000190,ORD0001803,ITM0003094,P005,USB-C Hub 7-in-1,Techcore Ltd,Accessories,2023-10-10,Arrived Damaged,25.07,1
RET000191,ORD0001803,ITM0003095,P011,Mechanical Keyboard TKL,Elite Components,Peripherals,2023-10-01,Defective/Not Working,65.59,1
RET000192,ORD0001811,ITM0003108,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2024-09-28,Defective/Not Working,22.07,2
RET000193,ORD0001811,ITM0003109,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2024-09-29,Not as Described,35.36,1
RET000194,ORD0001811,ITM0003110,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-09-29,Defective/Not Working,109.99,2
RET000195,ORD0001828,ITM0003139,P022,Laptop Sleeve 15in,ValueSource Co,Accessories,2024-03-14,Changed Mind,18.7,1
RET000196,ORD0001828,ITM0003140,P013,Portable SSD 1TB,EliteComponents,Storage,2024-03-08,Arrived Damaged,89.2,1
RET000197,ORD0001830,ITM0003142,P004,Smart Plug 4-Pack,novatech supply,Smart Home,2023-10-03,Arrived Damaged,34.68,1
RET000198,ORD0001843,ITM0003160,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2023-01-03,Not as Described,62.84,2
RET000199,ORD0001843,ITM0003161,P008,Power Bank 20000mAh,Techcore Ltd,Accessories,2023-01-25,Defective/Not Working,17.8,2
RET000200,ORD0001849,ITM0003173,P010,Noise Cancel Headphones,TechCore Ltd,Audio,2024-08-12,Defective/Not Working,38.79,1
RET000201,ORD0001849,ITM0003174,P002,Bluetooth Speaker Mini,NovaTech Supply,Audio,2024-08-09,Wrong Item Sent,53.66,1
RET000202,ORD0001854,ITM0003181,P006,Laptop Stand Aluminium,TechCore Ltd,Accessories,2023-02-06,Defective/Not Working,35.17,1
RET000203,ORD0001854,ITM0003182,P003,Smart Watch Fitness,Nova Tech Supply,Wearables,2023-01-28,Arrived Damaged,218.53,2
RET000204,ORD0001854,ITM0003183,P016,27in Monitor 4K,BrightGadgets,Displays,2023-02-16,Defective/Not Working,270.42,1
